M-YY,Non-mortgage loans,Chartered banks,Personal loans,Of which: Auto loans,Credit cards,Lines of credit,"Lines of credit, of which: excluding home equity lines of credit",Other personal loans,Unincorporated business,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Mortgage loans,Residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Of which: off balance-sheet NHA-MBS,Other financial corporations n.e.i.,Other lenders n.e.i.,Non-residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Total credit liabilities of households,Of which: real estate secured lending,Residential mortgages,Chartered banks,Non-banks,Non-residential mortgages,Chartered banks,Non-banks,Home equity lines of credit,Chartered banks,Non-banks
01-Dec,"261,648","148,814","39,282",0,"23,798","46,451","11,592","22,247","17,036","112,834","3,217","107,263","31,031",348,"38,046","37,838","2,354","447,095","442,817","281,679","161,138",209,"154,793","57,756","5,024","48,557","33,195","43,456","6,136","4,278",896,"3,382",104,"2,770",569,3,234,"1,964",508,"708,743","482,275","442,817","281,679","161,138","4,278",896,"3,382","35,180","34,859",321
02-Jan,"261,189","148,970","38,761",0,"23,672","47,210","11,648","22,484","16,843","112,219","3,139","106,730","30,833",363,"37,211","38,323","2,350","447,915","443,640","283,640","160,000",207,"153,884","58,126","5,097","47,589","33,013","43,072","5,909","4,275",897,"3,378",103,"2,768",572,3,233,"1,960",507,"709,104","483,815","443,640","283,640","160,000","4,275",897,"3,378","35,900","35,562",338
02-Feb,"262,013","149,821","39,022",0,"23,100","49,087","11,971","21,888","16,724","112,192","3,069","106,777","31,226",336,"36,455","38,760","2,346","448,209","443,935","283,194","160,741",204,"154,834","58,474","5,170","48,466","34,163","42,724","5,703","4,274",896,"3,378",101,"2,770",578,4,233,"1,955",507,"710,222","485,746","443,935","283,194","160,741","4,274",896,"3,378","37,537","37,116",421
02-Mar,"264,423","152,721","39,713",0,"23,354","50,469","12,162","22,359","16,826","111,702","2,991","106,369","31,192",313,"35,619","39,245","2,342","451,890","447,619","285,322","162,297",201,"156,620","58,889","5,356","50,035","35,844","42,340","5,476","4,271",899,"3,372",100,"2,766",579,4,232,"1,951",506,"716,313","490,673","447,619","285,322","162,297","4,271",899,"3,372","38,783","38,307",476
02-Apr,"265,761","153,336","39,648",0,"24,020","50,688","12,223","22,195","16,785","112,425","3,103","106,969","31,300",331,"36,173","39,165","2,353","455,828","451,519","288,401","163,118",199,"157,394","59,174","5,367","50,310","36,254","42,543","5,525","4,309",901,"3,408",98,"2,796",585,4,249,"1,958",514,"721,589","494,799","451,519","288,401","163,118","4,309",901,"3,408","38,971","38,465",506
02-May,"267,252","154,021","39,532",0,"24,329","51,402","12,404","22,008","16,750","113,231","3,219","107,648","31,476",346,"36,745","39,081","2,364","460,570","456,217","291,906","164,311",198,"158,537","59,976","5,383","50,426","36,538","42,752","5,576","4,353",910,"3,443",98,"2,824",589,4,267,"1,964",521,"727,822","500,133","456,217","291,906","164,311","4,353",910,"3,443","39,563","38,998",565
02-Jun,"269,935","155,824","39,568",0,"25,244","52,231","12,612","21,944","16,837","114,111","3,331","108,405","31,742",363,"37,299","39,001","2,375","465,375","460,980","293,587","167,393",197,"161,571","60,840","5,402","52,374","38,210","42,955","5,625","4,395",915,"3,480",98,"2,853",594,4,284,"1,971",529,"735,310","505,625","460,980","293,587","167,393","4,395",915,"3,480","40,250","39,619",631
02-Jul,"271,676","156,380","39,203",0,"25,607","53,348","12,903","21,451","16,771","115,296","3,467","109,465","32,236",312,"37,394","39,523","2,364","469,734","465,312","296,766","168,546",200,"162,834","60,909","5,421","53,539","39,326","42,965","5,512","4,422",924,"3,498",100,"2,866",597,4,296,"1,969",532,"741,410","510,848","465,312","296,766","168,546","4,422",924,"3,498","41,114","40,445",669
02-Aug,"274,915","158,431","39,011",0,"26,351","54,844","13,285","21,362","16,863","116,484","3,603","110,528","32,727",267,"37,488","40,046","2,353","472,044","467,599","299,609","167,990",202,"162,389","61,233","5,391","52,790","38,984","42,975","5,399","4,445",935,"3,510",101,"2,875",597,4,308,"1,966",534,"746,959","514,333","467,599","299,609","167,990","4,445",935,"3,510","42,289","41,559",730
02-Sep,"278,582","160,907","38,536",0,"27,812","56,242","13,646","21,319","16,998","117,675","3,734","111,598","33,255",210,"37,582","40,551","2,343","473,455","468,982","299,436","169,546",204,"164,053","61,622","5,310","54,136","40,255","42,985","5,289","4,473",947,"3,526",102,"2,887",599,4,320,"1,964",537,"752,037","516,836","468,982","299,436","169,546","4,473",947,"3,526","43,381","42,596",785
