M-YY,Non-mortgage loans,Chartered banks,Personal loans,Of which: Auto loans,Credit cards,Lines of credit,"Lines of credit, of which: excluding home equity lines of credit",Other personal loans,Unincorporated business,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Mortgage loans,Residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Of which: off balance-sheet NHA-MBS,Other financial corporations n.e.i.,Other lenders n.e.i.,Non-residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Total credit liabilities of households,Of which: real estate secured lending,Residential mortgages,Chartered banks,Non-banks,Non-residential mortgages,Chartered banks,Non-banks,Home equity lines of credit,Chartered banks,Non-banks
10-May,"547,887","376,040","57,936",0,"56,501","216,859","52,596","22,979","21,765","171,847","15,976","148,992","52,438","1,998","39,649","54,907","6,879","963,799","955,637","469,243","486,394",448,"479,900","117,491","10,302","301,630","288,196","50,477","6,046","8,162","1,625","6,537",209,"5,575","1,195",17,946,"3,417",753,"1,511,686","1,135,544","955,637","469,243","486,394","8,162","1,625","6,537","171,745","164,263","7,482"
10-Jun,"547,992","376,730","58,461",0,"55,925","217,466","52,512","22,770","22,108","171,262","15,985","148,409","52,402","2,206","38,888","54,913","6,868","974,818","966,622","476,194","490,428",444,"483,863","119,197","11,137","303,044","289,898","50,485","6,121","8,196","1,649","6,547",207,"5,586","1,201",17,939,"3,429",754,"1,522,810","1,147,394","966,622","476,194","490,428","8,196","1,649","6,547","172,576","164,954","7,622"
10-Jul,"550,102","379,285","59,301",0,"55,846","219,104","53,156","22,859","22,175","170,817","16,288","147,762","52,272","2,365","38,186","54,939","6,767","981,652","973,439","479,480","493,959",440,"487,452","119,825","10,769","306,329","293,289","50,529","6,067","8,213","1,657","6,556",205,"5,600","1,218",17,928,"3,437",751,"1,531,754","1,155,282","973,439","479,480","493,959","8,213","1,657","6,556","173,630","165,948","7,682"
10-Aug,"552,405","381,424","59,954",0,"56,099","220,535","53,738","22,620","22,216","170,981","16,592","147,722","52,759","2,514","37,485","54,964","6,667","986,331","978,077","478,743","499,334",434,"492,887","120,413","10,761","311,139","298,248","50,574","6,013","8,254","1,691","6,563",204,"5,610","1,231",18,916,"3,445",749,"1,538,736","1,160,950","978,077","478,743","499,334","8,254","1,691","6,563","174,619","166,797","7,822"
10-Sep,"555,577","384,861","60,268",0,"57,813","221,928","54,315","22,521","22,331","170,716","16,885","147,262","52,833","2,633","36,807","54,989","6,569","991,537","983,277","478,365","504,912",428,"498,524","121,086","10,846","315,975","303,260","50,617","5,960","8,260","1,687","6,573",203,"5,624","1,248",18,905,"3,453",746,"1,547,114","1,167,088","983,277","478,365","504,912","8,260","1,687","6,573","175,551","167,613","7,938"
10-Oct,"558,045","387,249","61,032",0,"58,178","223,353","54,767","22,305","22,381","170,796","17,057","147,199","53,106","2,597","36,653","54,843","6,540","996,845","988,571","480,349","508,222",423,"501,884","121,767","11,010","318,359","305,660","50,748","5,915","8,274","1,701","6,573",202,"5,627","1,240",19,894,"3,474",744,"1,554,890","1,173,520","988,571","480,349","508,222","8,274","1,701","6,573","176,675","168,586","8,089"
10-Nov,"559,380","388,497","61,460",0,"58,605","223,855","55,013","22,215","22,362","170,883","17,222","147,149","53,388","2,554","36,505","54,702","6,512","1,002,164","993,838","484,373","509,465",418,"503,175","122,468","10,873","318,960","306,257","50,874","5,872","8,326","1,753","6,573",201,"5,631","1,235",18,884,"3,494",741,"1,561,544","1,179,194","993,838","484,373","509,465","8,326","1,753","6,573","177,030","168,842","8,188"
10-Dec,"561,095","390,331","61,589",0,"60,332","223,717","55,092","22,317","22,376","170,764","17,394","146,887","53,465","2,516","36,350","54,556","6,483","1,008,061","999,746","484,686","515,060",412,"508,821","122,943","10,741","324,132","311,453","51,005","5,827","8,315","1,736","6,579",200,"5,640","1,233",19,873,"3,515",739,"1,569,156","1,184,858","999,746","484,686","515,060","8,315","1,736","6,579","176,797","168,625","8,172"
11-Jan,"565,160","396,893","61,718",0,"66,756","223,582","55,270","22,362","22,475","168,267","17,414","143,961","53,375","2,427","34,159","54,000","6,892","1,011,590","1,003,203","506,654","496,549",421,"490,451","124,487","32,442","263,682","260,430","69,840","5,677","8,387","1,766","6,621",203,"5,687","1,245",16,863,"3,563",731,"1,576,750","1,188,052","1,003,203","506,654","496,549","8,387","1,766","6,621","176,462","168,312","8,150"
11-Feb,"563,103","396,686","61,978",0,"64,994","224,913","55,684","22,618","22,183","166,417","17,432","141,723","53,725","2,328","32,173","53,497","7,262","1,015,018","1,006,588","506,007","500,581",359,"494,681","125,738","32,879","266,003","254,478","70,061","5,541","8,430","1,775","6,655",200,"5,730","1,254",14,855,"3,607",725,"1,578,121","1,192,486","1,006,588","506,007","500,581","8,430","1,775","6,655","177,468","169,229","8,239"
11-Mar,"562,402","398,444","62,624",0,"64,449","226,693","56,223","22,675","22,003","163,958","17,452","138,835","53,601","2,370","29,923","52,941","7,671","1,018,424","1,009,934","508,984","500,950",298,"495,261","127,323","33,325","263,262","251,109","71,351","5,391","8,490","1,796","6,694",197,"5,780","1,267",13,845,"3,655",717,"1,580,826","1,197,268","1,009,934","508,984","500,950","8,490","1,796","6,694","178,844","170,470","8,374"
11-Apr,"565,181","400,742","64,182",0,"64,832","227,000","56,581","22,550","22,178","164,439","17,505","139,198","53,893","2,308","29,833","53,164","7,736","1,023,983","1,015,501","513,759","501,742",298,"496,038","127,832","33,452","261,558","249,538","73,196","5,406","8,482","1,809","6,673",198,"5,760","1,282",13,839,"3,626",715,"1,589,164","1,202,847","1,015,501","513,759","501,742","8,482","1,809","6,673","178,864","170,419","8,445"
11-May,"566,569","401,484","65,050",0,"63,282","228,307","57,197","22,577","22,268","165,085","17,561","139,722","54,325","2,265","29,738","53,394","7,802","1,034,275","1,025,834","521,965","503,869",298,"498,148","128,968","33,505","260,572","248,723","75,103","5,423","8,441","1,797","6,644",197,"5,735","1,295",13,832,"3,595",712,"1,600,844","1,214,045","1,025,834","521,965","503,869","8,441","1,797","6,644","179,770","171,110","8,660"
11-Jun,"568,971","403,679","66,040",0,"63,377","229,303","57,744","22,520","22,439","165,292","17,614","139,811","54,317","2,229","29,648","53,617","7,867","1,044,759","1,036,315","530,407","505,908",298,"500,172","130,513","33,663","259,048","247,338","76,948","5,438","8,444","1,813","6,631",197,"5,724","1,320",13,825,"3,566",710,"1,613,730","1,225,097","1,036,315","530,407","505,908","8,444","1,813","6,631","180,338","171,559","8,779"
11-Jul,"570,734","405,597","67,001",0,"63,558","230,194","57,948","22,291","22,553","165,137","17,839","139,425","54,186","2,309","29,659","53,271","7,873","1,054,931","1,046,473","536,876","509,597",299,"503,848","131,773","34,202","260,219","248,359","77,654","5,450","8,458","1,841","6,617",196,"5,714","1,327",14,800,"3,573",707,"1,625,665","1,236,027","1,046,473","536,876","509,597","8,458","1,841","6,617","181,096","172,246","8,850"
11-Aug,"571,971","406,436","67,489",0,"62,940","230,995","58,116","22,408","22,604","165,535","18,064","139,591","54,601","2,410","29,654","52,926","7,880","1,063,117","1,054,631","540,661","513,970",299,"508,208","132,725","35,260","261,864","249,878","78,359","5,463","8,486","1,884","6,602",196,"5,702","1,335",14,773,"3,580",704,"1,635,088","1,244,969","1,054,631","540,661","513,970","8,486","1,884","6,602","181,852","172,879","8,973"
11-Sep,"573,456","408,181","67,773",0,"63,581","231,983","58,304","22,136","22,708","165,275","18,282","139,107","54,354","2,513","29,649","52,591","7,886","1,067,959","1,059,479","540,157","519,322",299,"513,548","133,669","34,886","265,951","253,803","79,042","5,475","8,480","1,897","6,583",195,"5,687","1,339",15,746,"3,587",701,"1,641,415","1,250,716","1,059,479","540,157","519,322","8,480","1,897","6,583","182,757","173,679","9,078"
11-Oct,"573,145","408,183","68,048",0,"63,009","232,960","58,270","21,717","22,449","164,962","18,334","138,684","55,030","2,533","28,598","52,523","7,944","1,074,576","1,066,043","539,657","526,386",300,"520,660","133,818","34,527","272,950","260,483","79,365","5,426","8,533","1,905","6,628",194,"5,738","1,354",15,767,"3,602",696,"1,647,721","1,258,351","1,066,043","539,657","526,386","8,533","1,905","6,628","183,775","174,690","9,085"
11-Nov,"576,276","429,779","68,360",0,"78,468","237,883","59,333","21,704","23,364","146,497","18,384","120,112","55,593","2,735","9,326","52,458","8,001","1,078,278","1,069,713","790,565","279,148",300,"273,470","134,295","37,122","22,374","14,153","79,679","5,378","8,565","1,944","6,621",194,"5,735","1,372",15,732,"3,616",692,"1,654,554","1,266,188","1,069,713","790,565","279,148","8,565","1,944","6,621","187,910","178,550","9,360"
11-Dec,"577,988","431,289","68,290",0,"79,785","238,398","59,189","21,645","23,171","146,699","18,436","120,204","55,895","2,704","9,215","52,390","8,059","1,077,880","1,069,263","791,856","277,407",301,"271,777","134,828","35,015","21,932","14,009","80,002","5,329","8,617","1,975","6,642",194,"5,761","1,390",15,725,"3,631",687,"1,655,868","1,266,314","1,069,263","791,856","277,407","8,617","1,975","6,642","188,434","179,209","9,225"
12-Jan,"575,269","429,157","69,099",0,"78,471","238,302","55,163","20,363","22,922","146,112","18,534","119,617","56,084","2,616","8,956","51,961","7,961","1,080,605","1,071,976","794,088","277,888",301,"272,298","134,923","34,260","22,374","13,912","80,741","5,289","8,629","1,988","6,641",195,"5,750","1,390",15,717,"3,628",696,"1,655,874","1,272,977","1,071,976","794,088","277,888","8,629","1,988","6,641","192,372","183,139","9,233"
12-Feb,"573,486","427,529","69,392",0,"76,345","238,385","54,906","20,708","22,699","145,957","18,626","119,462","56,641","2,551","8,711","51,559","7,869","1,083,679","1,075,059","796,429","278,630",300,"273,077","135,080","34,793","21,773","13,116","81,431","5,253","8,620","1,974","6,646",194,"5,749","1,397",16,710,"3,626",703,"1,657,165","1,276,460","1,075,059","796,429","278,630","8,620","1,974","6,646","192,781","183,479","9,302"
12-Mar,"573,831","428,427","69,849",0,"75,677","239,268","54,983","21,021","22,612","145,404","18,724","118,909","56,850","2,472","8,457","51,130","7,771","1,089,168","1,080,503","800,560","279,943",300,"274,430","135,364","35,604","21,292","12,386","82,170","5,213","8,665","2,014","6,651",193,"5,746","1,405",16,702,"3,623",712,"1,662,999","1,282,871","1,080,503","800,560","279,943","8,665","2,014","6,651","193,703","184,285","9,418"
12-Apr,"575,312","429,148","70,422",0,"75,972","239,155","54,930","20,983","22,616","146,164","18,774","119,558","57,128","2,739","8,410","51,281","7,832","1,094,896","1,086,164","805,898","280,266",301,"274,771","136,427","35,173","21,081","12,335","82,090","5,194","8,732","2,046","6,686",193,"5,772","1,418",16,691,"3,647",721,"1,670,208","1,288,599","1,086,164","805,898","280,266","8,732","2,046","6,686","193,703","184,225","9,478"
12-May,"578,765","431,773","70,979",0,"76,736","240,274","55,208","21,063","22,721","146,992","18,826","120,271","57,463","3,018","8,353","51,437","7,895","1,100,930","1,092,156","812,581","279,575",301,"274,100","138,013","33,495","20,584","12,108","82,008","5,174","8,774","2,058","6,716",196,"5,791","1,427",16,677,"3,671",729,"1,679,695","1,295,663","1,092,156","812,581","279,575","8,774","2,058","6,716","194,733","185,066","9,667"
12-Jun,"581,574","434,085","71,673",0,"77,287","241,268","55,422","21,047","22,810","147,489","18,876","120,657","57,465","3,336","8,268","51,588","7,956","1,107,410","1,098,573","818,856","279,717",302,"274,260","139,746","32,444","20,142","11,912","81,928","5,155","8,837","2,079","6,758",198,"5,822","1,447",17,663,"3,695",738,"1,688,984","1,302,976","1,098,573","818,856","279,717","8,837","2,079","6,758","195,566","185,846","9,720"
12-Jul,"582,438","435,477","72,223",0,"77,154","242,249","55,495","20,823","23,028","146,961","19,145","119,795","57,552","2,803","8,326","51,114","8,021","1,114,069","1,105,193","824,580","280,613",304,"275,191","140,346","32,951","20,464","11,925","81,430","5,118","8,876","2,108","6,768",201,"5,820","1,456",18,651,"3,695",747,"1,696,507","1,310,518","1,105,193","824,580","280,613","8,876","2,108","6,768","196,449","186,754","9,695"
12-Aug,"586,545","438,900","74,601",0,"77,286","243,143","55,558","20,512","23,358","147,645","19,414","120,145","57,973","3,156","8,376","50,640","8,086","1,120,168","1,111,271","830,151","281,120",306,"275,732","140,714","33,232","20,853","11,977","80,933","5,082","8,897","2,123","6,774",202,"5,816","1,460",19,641,"3,696",756,"1,706,713","1,317,521","1,111,271","830,151","281,120","8,897","2,123","6,774","197,353","187,585","9,768"
12-Sep,"589,141","440,933","75,129",0,"77,872","244,390","55,923","19,928","23,614","148,208","19,674","120,385","58,270","3,511","8,422","50,182","8,149","1,124,606","1,115,695","834,079","281,616",308,"276,262","141,126","33,191","21,494","12,177","80,451","5,046","8,911","2,143","6,768",204,"5,800","1,455",19,630,"3,696",764,"1,713,747","1,322,917","1,115,695","834,079","281,616","8,911","2,143","6,768","198,311","188,467","9,844"
12-Oct,"590,101","441,223","75,712",0,"77,488","244,716","55,814","19,764","23,543","148,878","19,942","120,778","58,464","3,565","8,491","50,258","8,158","1,128,978","1,120,025","836,980","283,045",308,"277,748","141,981","33,395","21,948","12,267","80,424","4,989","8,953","2,166","6,787",205,"5,810","1,469",19,621,"3,701",772,"1,719,079","1,327,756","1,120,025","836,980","283,045","8,953","2,166","6,787","198,778","188,902","9,876"
12-Nov,"590,038","440,808","76,045",0,"74,664","246,991","57,974","19,677","23,431","149,230","20,201","120,863","58,383","3,588","8,561","50,331","8,166","1,130,514","1,121,509","837,533","283,976",307,"278,735","142,766","33,386","22,184","12,226","80,399","4,934","9,005","2,195","6,810",207,"5,824","1,485",19,614,"3,706",779,"1,720,552","1,329,528","1,121,509","837,533","283,976","9,005","2,195","6,810","199,014","189,017","9,997"
12-Dec,"592,384","442,527","76,032",0,"76,422","247,043","58,059","19,596","23,434","149,857","20,469","121,213","58,553","3,627","8,626","50,407","8,175","1,136,022","1,126,941","841,861","285,080",306,"279,897","143,244","33,635","22,646","12,311","80,372","4,877","9,081","2,245","6,836",209,"5,840","1,504",18,607,"3,711",787,"1,728,406","1,334,959","1,126,941","841,861","285,080","9,081","2,245","6,836","198,937","188,984","9,953"
13-Jan,"588,875","439,873","75,532",0,"74,887","246,608","58,194","19,464","23,382","149,002","20,831","119,807","58,379","2,660","9,052","49,716","8,364","1,137,018","1,127,795","841,774","286,021",306,"280,857","143,683","34,430","22,999","12,442","79,745","4,858","9,223","2,256","6,967",236,"5,935","1,514",18,599,"3,804",796,"1,725,893","1,335,348","1,127,795","841,774","286,021","9,223","2,256","6,967","198,330","188,414","9,916"
13-Feb,"592,943","444,437","82,267",0,"73,426","246,140","58,072","18,889","23,715","148,506","21,158","118,812","58,561","1,711","9,448","49,092","8,536","1,138,331","1,128,965","843,288","285,677",306,"280,529","144,153","34,047","23,150","12,458","79,179","4,842","9,366","2,276","7,090",263,"6,023","1,524",18,593,"3,888",804,"1,731,274","1,336,362","1,128,965","843,288","285,677","9,366","2,276","7,090","198,031","188,068","9,963"
13-Mar,"593,100","445,228","82,663",0,"73,041","246,681","58,547","18,997","23,846","147,872","21,520","117,627","58,571",772,"9,883","48,401","8,725","1,141,256","1,131,740","845,492","286,248",307,"281,118","144,468","34,768","23,330","12,489","78,552","4,823","9,516","2,297","7,219",290,"6,116","1,531",18,586,"3,981",813,"1,734,356","1,339,439","1,131,740","845,492","286,248","9,516","2,297","7,219","198,183","188,134","10,049"
13-Apr,"594,082","445,484","83,229",0,"73,585","246,158","58,506","18,901","23,611","148,598","21,369","118,495","58,980",765,"10,062","48,688","8,734","1,146,507","1,136,949","849,214","287,735",309,"282,583","145,225","35,062","23,069","12,226","79,227","4,843","9,558","2,311","7,247",293,"6,131","1,538",18,578,"3,997",823,"1,740,589","1,344,236","1,136,949","849,214","287,735","9,558","2,311","7,247","197,729","187,652","10,077"
13-May,"597,083","447,910","87,165",0,"71,867","246,326","58,826","19,061","23,491","149,173","21,214","119,215","59,229",752,"10,248","48,986","8,744","1,153,023","1,143,408","853,779","289,629",310,"284,454","146,449","35,422","22,659","11,882","79,924","4,865","9,615","2,323","7,292",297,"6,162","1,559",18,570,"4,015",833,"1,750,106","1,350,698","1,143,408","853,779","289,629","9,615","2,323","7,292","197,675","187,500","10,175"
13-Jun,"598,641","449,110","88,250",0,"72,409","246,278","59,185","18,870","23,303","149,531","21,063","119,715","59,264",748,"10,430","49,273","8,753","1,161,243","1,151,561","860,212","291,349",313,"286,151","147,697","35,367","22,488","11,667","80,599","4,885","9,682","2,361","7,321",301,"6,177","1,566",18,562,"4,031",843,"1,759,884","1,358,418","1,151,561","860,212","291,349","9,682","2,361","7,321","197,175","187,093","10,082"
13-Jul,"601,524","450,542","89,378",0,"72,536","245,923","59,338","19,252","23,453","150,982","21,376","120,868","59,402",995,"10,632","49,839","8,738","1,172,049","1,162,262","874,230","288,032",309,"282,812","148,815","30,190","22,312","11,365","81,495","4,911","9,787","2,446","7,341",304,"6,184","1,577",15,555,"4,037",853,"1,773,573","1,368,599","1,162,262","874,230","288,032","9,787","2,446","7,341","196,550","186,585","9,965"
13-Aug,"604,169","451,403","90,187",0,"73,154","245,525","59,377","18,963","23,574","152,766","21,688","122,356","59,889","1,228","10,834","50,405","8,722","1,175,097","1,165,256","878,278","286,978",317,"281,724","149,715","27,805","21,812","10,871","82,392","4,937","9,841","2,472","7,369",314,"6,191","1,582",16,550,"4,043",864,"1,779,266","1,371,214","1,165,256","878,278","286,978","9,841","2,472","7,369","196,117","186,148","9,969"
13-Sep,"606,225","452,521","90,972",0,"73,853","245,620","59,789","18,369","23,707","153,704","21,991","123,006","60,265",757,"11,032","50,952","8,707","1,179,929","1,170,039","884,343","285,696",326,"280,408","150,740","24,850","21,559","10,504","83,259","4,962","9,890","2,490","7,400",325,"6,201","1,591",17,544,"4,049",874,"1,786,154","1,375,726","1,170,039","884,343","285,696","9,890","2,490","7,400","195,797","185,831","9,966"
13-Oct,"606,175","451,554","91,059",0,"73,303","245,155","59,582","18,289","23,748","154,621","22,351","123,522","60,341",753,"11,129","51,299","8,748","1,182,672","1,172,699","887,442","285,257",329,"279,946","151,816","22,943","22,203","11,249","82,984","4,982","9,973","2,538","7,435",333,"6,218","1,603",17,532,"4,066",884,"1,788,847","1,378,172","1,172,699","887,442","285,257","9,973","2,538","7,435","195,500","185,573","9,927"
13-Nov,"607,004","451,500","91,878",0,"73,435","244,638","59,235","17,712","23,837","155,504","22,698","124,019","60,409",749,"11,227","51,634","8,787","1,187,287","1,177,227","889,573","287,654",332,"282,322","152,648","24,064","22,891","12,016","82,719","5,000","10,060","2,594","7,466",340,"6,232","1,615",18,516,"4,083",894,"1,794,291","1,382,581","1,177,227","889,573","287,654","10,060","2,594","7,466","195,294","185,403","9,891"
13-Dec,"610,504","453,808","92,568",0,"75,488","244,382","59,125","17,318","24,052","156,696","23,058","124,810","60,755",753,"11,321","51,981","8,828","1,190,760","1,180,589","891,002","289,587",335,"284,232","153,328","24,609","23,851","12,938","82,444","5,020","10,171","2,668","7,503",348,"6,251","1,633",18,500,"4,100",904,"1,801,264","1,385,901","1,180,589","891,002","289,587","10,171","2,668","7,503","195,141","185,257","9,884"
14-Jan,"608,755","451,837","93,116",0,"73,895","243,511","58,868","17,696","23,619","156,918","23,119","124,803","60,644",754,"11,039","52,366","8,996","1,191,813","1,181,612","890,572","291,040",338,"285,674","153,827","24,087","23,042","12,087","84,718","5,028","10,201","2,701","7,500",358,"6,242","1,643",18,489,"4,092",900,"1,800,568","1,386,238","1,181,612","890,572","291,040","10,201","2,701","7,500","194,425","184,643","9,782"
14-Feb,"608,380","450,926","93,354",0,"72,504","243,786","59,250","18,038","23,244","157,454","23,175","125,132","60,872",763,"10,782","52,715","9,147","1,194,474","1,184,276","891,604","292,672",341,"287,295","154,490","23,878","22,154","11,179","86,773","5,036","10,198","2,706","7,492",365,"6,232","1,649",18,480,"4,085",895,"1,802,854","1,388,830","1,184,276","891,604","292,672","10,198","2,706","7,492","194,356","184,536","9,820"
14-Mar,"609,798","451,795","92,952",0,"72,195","244,714","59,884","18,973","22,961","158,003","23,236","125,452","61,081",770,"10,501","53,100","9,315","1,198,469","1,188,285","893,224","295,061",344,"289,673","155,227","24,286","21,113","10,179","89,047","5,044","10,184","2,696","7,488",373,"6,224","1,657",18,472,"4,077",891,"1,808,267","1,393,186","1,188,285","893,224","295,061","10,184","2,696","7,488","194,717","184,830","9,887"
14-Apr,"611,087","452,021","93,355",0,"72,772","244,388","59,716","18,971","22,535","159,066","23,204","126,589","61,676",779,"10,521","53,613","9,273","1,203,039","1,192,828","895,761","297,067",339,"291,696","155,973","24,570","20,841","9,947","90,312","5,032","10,211","2,705","7,506",374,"6,246","1,671",18,465,"4,092",886,"1,814,126","1,397,550","1,192,828","895,761","297,067","10,211","2,705","7,506","194,511","184,672","9,839"
14-May,"614,709","454,704","94,282",0,"74,113","244,974","60,088","19,106","22,229","160,005","23,172","127,602","62,138",781,"10,539","54,144","9,231","1,209,345","1,199,113","900,046","299,067",335,"293,713","157,217","24,262","20,614","9,734","91,620","5,019","10,232","2,714","7,518",375,"6,263","1,677",18,459,"4,109",880,"1,824,054","1,404,084","1,199,113","900,046","299,067","10,232","2,714","7,518","194,739","184,886","9,853"
14-Jun,"618,262","457,172","95,521",0,"75,180","245,340","60,383","19,225","21,906","161,090","23,140","128,761","62,743",802,"10,559","54,657","9,189","1,217,015","1,206,766","905,464","301,302",331,"295,964","158,430","24,197","20,452","9,551","92,885","5,007","10,249","2,715","7,534",377,"6,282","1,686",18,454,"4,124",875,"1,835,277","1,411,797","1,206,766","905,464","301,302","10,249","2,715","7,534","194,782","184,957","9,825"
14-Jul,"620,688","458,479","96,067",0,"75,130","245,792","60,705","19,310","22,180","162,209","23,565","129,436","62,855",812,"10,633","55,136","9,208","1,225,306","1,215,045","910,724","304,321",332,"298,978","159,685","24,625","20,854","9,950","93,814","5,011","10,261","2,715","7,546",378,"6,298","1,697",18,448,"4,135",870,"1,845,994","1,420,189","1,215,045","910,724","304,321","10,261","2,715","7,546","194,883","185,087","9,796"
14-Aug,"623,608","459,962","96,031",0,"75,303","245,850","60,867","20,317","22,461","163,646","23,990","130,429","63,285",821,"10,708","55,615","9,227","1,231,888","1,221,594","915,315","306,279",333,"300,931","160,554","24,346","21,287","10,374","94,744","5,015","10,294","2,743","7,551",379,"6,306","1,700",19,441,"4,146",866,"1,855,496","1,426,673","1,221,594","915,315","306,279","10,294","2,743","7,551","194,785","184,983","9,802"
14-Sep,"626,808","461,837","96,652",0,"76,014","246,184","61,343","20,223","22,764","164,971","24,402","131,323","63,625",839,"10,781","56,078","9,246","1,238,827","1,228,523","920,108","308,415",333,"303,063","161,318","24,488","21,614","10,752","95,643","5,019","10,304","2,744","7,560",380,"6,319","1,710",19,434,"4,156",861,"1,865,635","1,433,516","1,228,523","920,108","308,415","10,304","2,744","7,560","194,689","184,841","9,848"
14-Oct,"627,574","461,989","97,243",0,"75,496","246,001","61,127","20,438","22,811","165,585","24,484","131,853","63,613",787,"10,750","56,703","9,248","1,244,886","1,234,581","923,803","310,778",333,"305,395","162,303","25,258","21,263","11,173","96,571","5,050","10,305","2,746","7,559",382,"6,320","1,721",19,420,"4,160",857,"1,872,460","1,439,498","1,234,581","923,803","310,778","10,305","2,746","7,559","194,612","184,874","9,738"
14-Nov,"628,153","461,876","93,106",0,"75,641","250,026","65,251","20,255","22,848","166,277","24,564","132,464","63,738",696,"10,722","57,308","9,249","1,248,444","1,238,150","926,803","311,347",333,"305,934","163,066","24,683","20,716","11,488","97,469","5,080","10,294","2,745","7,549",383,"6,313","1,729",19,400,"4,165",853,"1,876,597","1,443,098","1,238,150","926,803","311,347","10,294","2,745","7,549","194,654","184,775","9,879"
14-Dec,"630,808","463,635","93,152",0,"77,453","250,310","65,421","19,745","22,975","167,173","24,646","133,276","64,000",652,"10,691","57,933","9,251","1,252,461","1,242,127","929,867","312,260",333,"306,816","163,651","24,533","20,235","11,838","98,397","5,111","10,334","2,791","7,543",385,"6,309","1,740",19,381,"4,169",849,"1,883,269","1,447,150","1,242,127","929,867","312,260","10,334","2,791","7,543","194,689","184,889","9,800"
15-Jan,"628,787","461,322","92,724",0,"75,943","249,791","65,764","19,641","23,223","167,465","24,799","133,399","63,931",656,"10,845","57,967","9,267","1,256,558","1,246,171","931,068","315,103",333,"309,618","164,054","24,855","19,855","11,498","100,854","5,152","10,387","2,816","7,571",387,"6,339","1,762",19,370,"4,188",845,"1,885,345","1,450,333","1,246,171","931,068","315,103","10,387","2,816","7,571","193,775","184,027","9,748"
15-Feb,"627,654","459,826","92,899",0,"74,481","249,187","65,753","19,755","23,504","167,828","24,938","133,608","63,957",669,"10,985","57,997","9,282","1,260,826","1,250,398","933,438","316,960",333,"311,437","164,489","24,137","19,739","11,313","103,072","5,190","10,428","2,837","7,591",390,"6,360","1,772",20,364,"4,204",841,"1,888,480","1,453,981","1,250,398","933,438","316,960","10,428","2,837","7,591","193,155","183,434","9,721"
15-Mar,"629,881","461,692","93,237",0,"74,327","250,079","66,745","20,092","23,957","168,189","25,091","133,800","63,946",683,"11,140","58,031","9,298","1,265,339","1,254,864","935,124","319,740",333,"314,176","164,757","24,341","19,549","11,080","105,529","5,231","10,475","2,856","7,619",392,"6,390","1,789",20,358,"4,223",837,"1,895,220","1,458,456","1,254,864","935,124","319,740","10,475","2,856","7,619","193,117","183,334","9,783"
15-Apr,"632,233","463,338","93,387",0,"75,120","249,338","66,609","20,137","25,356","168,895","25,039","134,439","64,106",688,"11,216","58,429","9,417","1,269,682","1,259,214","939,405","319,809",333,"314,260","165,838","22,265","19,878","11,139","106,279","5,216","10,468","2,871","7,597",395,"6,370","1,791",20,352,"4,207",832,"1,901,915","1,462,118","1,259,214","939,405","319,809","10,468","2,871","7,597","192,436","182,729","9,707"
15-May,"637,066","467,297","94,036",0,"76,359","249,629","67,082","20,387","26,886","169,769","24,985","135,245","64,419",691,"11,295","58,840","9,539","1,278,375","1,267,916","944,818","323,098",333,"317,565","166,850","23,281","20,380","11,294","107,054","5,200","10,459","2,887","7,572",396,"6,349","1,793",20,347,"4,189",827,"1,915,441","1,470,646","1,267,916","944,818","323,098","10,459","2,887","7,572","192,271","182,547","9,724"
15-Jun,"641,074","470,646","94,922",0,"77,190","249,463","67,413","20,677","28,394","170,428","24,933","135,837","64,531",708,"11,360","59,238","9,658","1,290,542","1,280,056","953,091","326,965",334,"321,446","168,496","24,317","20,829","11,414","107,804","5,185","10,486","2,927","7,559",397,"6,340","1,804",21,342,"4,173",822,"1,931,616","1,482,260","1,280,056","953,091","326,965","10,486","2,927","7,559","191,718","182,050","9,668"
15-Jul,"642,086","470,989","94,958",0,"77,376","249,359","67,744","20,794","28,502","171,097","25,318","136,052","64,417",708,"11,456","59,471","9,727","1,301,813","1,291,260","961,991","329,269",336,"323,718","169,569","24,527","21,029","11,675","108,593","5,215","10,553","2,978","7,575",398,"6,359","1,825",21,331,"4,182",818,"1,943,899","1,493,053","1,291,260","961,991","329,269","10,553","2,978","7,575","191,240","181,615","9,625"
15-Aug,"643,905","471,577","96,334",0,"77,423","249,016","68,139","20,178","28,626","172,328","25,704","136,828","64,857",716,"11,551","59,704","9,796","1,311,336","1,300,748","969,690","331,058",338,"325,474","170,296","24,523","21,273","11,967","109,382","5,246","10,588","2,999","7,589",400,"6,375","1,846",21,317,"4,191",814,"1,955,241","1,501,857","1,300,748","969,690","331,058","10,588","2,999","7,589","190,521","180,877","9,644"
