AGE,KIDS,NET WORTH,INCOME,MARRIAGE,TRUE RISK TOLERANCE,RISK TOLERANCE SCORE
47,3,14135907.903,1331220.3816,1,14.303615819024454,Low Risk
47,3,14079985.63,1331220.3816,1,13.795910495154336,Low Risk
27,0,82537.132593,109692.55945,1,56.34298964661387,High Risk
27,0,82537.132593,109692.55945,1,56.34298964661387,High Risk
27,0,82537.132593,109692.55945,1,56.63639819218432,High Risk
27,0,82537.132593,109692.55945,1,56.34298964661387,High Risk
27,0,82537.132593,109692.55945,1,56.63639819218432,High Risk
34,2,215922.10973,90522.98595,1,26.30486381099252,Moderate Risk
34,2,215922.10973,90522.98595,1,26.30486381099252,Moderate Risk
34,2,215922.10973,90522.98595,1,26.30486381099252,Moderate Risk
34,2,215922.10973,90522.98595,1,26.30486381099252,Moderate Risk
34,2,215922.10973,90522.98595,1,26.30486381099252,Moderate Risk
44,1,5918440.5617,159746.44579,1,4.152774174667817,Very Low Risk
44,1,5599165.8067,159746.44579,1,4.163285199002363,Very Low Risk
44,1,5695787.0673,159746.44579,1,4.092499944939202,Very Low Risk
44,1,5949508.4912,159746.44579,1,4.163046493143441,Very Low Risk
44,1,5831450.3592,159746.44579,1,4.15670857178284,Very Low Risk
55,1,247611.39778,21299.526106,1,1.93322114202257,Very Low Risk
55,1,247611.39778,21299.526106,1,2.001765857211692,Very Low Risk
55,1,247714.95754,21299.526106,1,1.902899488473492,Very Low Risk
55,1,247714.95754,21299.526106,1,1.8885960128831865,Very Low Risk
48,3,614316.52515,161876.3984,1,9.394119498236474,Low Risk
48,3,616387.72044,158681.46949,1,9.434575256158436,Low Risk
48,3,744801.82887,164006.35102,1,9.450495694860024,Low Risk
48,3,620530.11104,161876.3984,1,9.469130966316715,Low Risk
48,3,685772.7629,160811.4221,1,9.440943038791149,Low Risk
58,0,890717.53756,37274.170685,1,3.016151181034436,Very Low Risk
58,0,890717.53756,36209.19438,1,2.9764965846034266,Very Low Risk
58,0,576931.45003,36209.19438,1,2.9764965846034266,Very Low Risk
58,0,735377.89027,36209.19438,1,2.9764965846034266,Very Low Risk
58,0,598679.00065,36209.19438,1,2.9764965846034266,Very Low Risk
43,0,275158.29523,93717.914866,1,20.71912694185475,Moderate Risk
43,0,581488.07969,75613.317676,1,18.898707666242927,Moderate Risk
43,2,1400644.7841,125667.20402,2,7.276614219199404,Low Risk
43,2,1456049.2583,124602.22772,2,6.6068317853906,Very Low Risk
67,0,1526988.7329,71353.412455,2,0.8955107732920615,Very Low Risk
85,0,56239165.905,372741.70685,1,0.8501253570325937,Very Low Risk
59,0,513739.28152,53248.815265,1,1.8212641527859623,Very Low Risk
59,0,424077.2371,48988.910043,1,1.997425400034191,Very Low Risk
59,0,515375.5258,47923.933738,1,1.750624647073403,Very Low Risk
59,0,426738.72306,50053.886349,1,1.9473427897439184,Very Low Risk
59,0,488967.78576,48988.910043,1,1.80509555508404,Very Low Risk
40,3,268892.92946,53248.815265,1,23.32440412147548,Moderate Risk
40,3,256672.8772,63898.578318,1,24.764173495440104,Moderate Risk
40,3,229125.97975,56443.744181,1,23.762674767658865,Moderate Risk
40,3,232439.89223,58573.696791,1,23.458251955264878,Moderate Risk
40,3,231300.73481,61768.625707,1,24.968568006104427,Moderate Risk
88,0,148219913.46,2747638.8677,1,0.4547414635342328,Very Low Risk
88,0,140790328.8,2736989.1046,1,0.4506097556211594,Very Low Risk
88,0,125480053.17,2736989.1046,1,0.4516349335445253,Very Low Risk
88,0,102972373.87,2736989.1046,1,0.4508435478362725,Very Low Risk
88,0,98515368.713,2747638.8677,1,0.451802794947464,Very Low Risk
52,1,204478.75572,63898.578318,1,8.010587937813009,Low Risk
52,1,203443.15807,64963.554623,1,8.069122874991443,Low Risk
52,1,202407.56042,64963.554623,1,8.069122874991443,Low Risk
52,1,205514.35336,63898.578318,1,8.010587937813009,Low Risk
52,1,204468.39974,64963.554623,1,8.069122874991443,Low Risk
36,0,45473.09275,51118.862654,2,22.81845894978583,Moderate Risk
36,0,45369.532985,51118.862654,2,22.831164656753817,Moderate Risk
36,0,45379.888961,51118.862654,2,22.92478918560452,Moderate Risk
36,0,45483.448726,51118.862654,2,22.852838508146316,Moderate Risk
